"block_id","x","y","conifer","damage","stratum","fold"
1,598709.929577465,7026789.34367542,9.5,FALSE,"c1_d0",7
2,611013.47887324,6857284.1646778,9,FALSE,"c1_d0",2
3,712517.76056338,6954071.1097852,6.6,FALSE,"c1_d0",5
4,725846.605633803,6969434.11694511,7.3,FALSE,"c1_d0",5
5,648949.422535211,6953559.00954654,5.9,FALSE,"c1_d0",8
6,728409.845070422,6978651.92124105,6.2,FALSE,"c1_d0",6
7,607424.943661972,6859844.66587112,7.9,FALSE,"c1_d0",3
8,603836.408450704,6859332.56563246,7.7,FALSE,"c1_d0",3
9,652537.957746479,6846017.95942721,5.9,FALSE,"c1_d0",2
10,633057.338028169,6911566.78997613,6.1,FALSE,"c1_d0",8
11,589482.267605634,6858820.4653938,9,FALSE,"c1_d0",3
12,639209.112676056,6915663.59188544,8.5,FALSE,"c1_d0",8
13,602811.112676056,7033446.64677804,8.8,FALSE,"c1_d0",7
14,704315.394366197,6988893.92601432,8.2,FALSE,"c1_d0",6
15,561286.633802817,6908494.18854415,7.8,FALSE,"c1_d0",4
16,589994.915492958,7015523.13842482,5.5,FALSE,"c1_d0",6
17,601273.169014084,6861893.06682578,6.7,FALSE,"c1_d0",3
18,652025.309859155,6920272.49403341,6.5,FALSE,"c1_d0",8
19,609475.535211268,7023716.74224344,5,FALSE,"c1_d0",7
20,605887,6870598.77088305,8.5,FALSE,"c1_d0",3
21,584355.788732394,6914127.29116945,8.3,FALSE,"c1_d0",4
22,601273.169014084,6912590.99045346,8,FALSE,"c1_d0",8
23,651000.014084507,6892106.98090692,9.4,TRUE,"c1_d1",8
24,643310.295774648,6895179.5823389,6,TRUE,"c1_d1",8
25,571539.591549296,6909518.38902148,9.4,TRUE,"c1_d1",4
26,648949.422535211,6830142.85202864,8.2,TRUE,"c1_d1",1
27,631519.394366197,6888522.27923628,5.7,TRUE,"c1_d1",8
28,692524.492957746,7028325.64439141,5,TRUE,"c1_d1",7
29,612551.422535211,6921808.7947494,8.5,TRUE,"c1_d1",8
30,642797.647887324,6936659.70167065,7.5,TRUE,"c1_d1",8
31,600760.52112676,6864965.66825776,9.3,TRUE,"c1_d1",3
32,648436.774647887,6881352.87589499,8.7,TRUE,"c1_d1",8
33,623829.676056338,6920784.59427208,8.2,TRUE,"c1_d1",8
34,699701.563380282,6949974.3078759,5.5,TRUE,"c1_d1",5
35,642285,6913103.09069213,5.3,TRUE,"c1_d1",8
36,583330.492957746,6869062.47016706,6.5,TRUE,"c1_d1",3
37,594096.098591549,6868550.3699284,8.9,TRUE,"c1_d1",3
38,663303.563380282,6977627.72076372,8.6,TRUE,"c1_d1",8
39,634595.281690141,6847554.2601432,9.2,TRUE,"c1_d1",2
40,667917.394366197,6846017.95942721,6.6,TRUE,"c1_d1",2
41,706365.985915493,6948950.10739857,5.9,TRUE,"c1_d1",5
42,641772.352112676,6947413.80668258,8.4,TRUE,"c1_d1",8
43,621266.436619718,6870086.67064439,7,TRUE,"c1_d1",3
44,572052.23943662,6897740.08353222,7,TRUE,"c1_d1",4
45,605374.352112676,6835775.95465394,6.3,TRUE,"c1_d1",1
46,659202.38028169,6896203.78281623,8.1,TRUE,"c1_d1",8
47,645873.535211268,6896203.78281623,8.8,TRUE,"c1_d1",8
48,671505.929577465,6980700.3221957,5.4,TRUE,"c1_d1",8
49,628956.154929578,6943317.00477327,9.6,TRUE,"c1_d1",8
50,591020.211267606,6834751.75417661,9.1,TRUE,"c1_d1",1
51,579741.957746479,6922832.99522673,6.7,TRUE,"c1_d1",5
52,690986.549295775,6841921.1575179,7.4,TRUE,"c1_d1",1
53,645360.887323944,6897740.08353222,6.8,TRUE,"c1_d1",8
54,639209.112676056,6884425.47732697,6.7,TRUE,"c1_d1",8
55,630494.098591549,6912078.8902148,13.4,FALSE,"c2_d0",8
56,731485.732394366,6969946.21718377,15.2,FALSE,"c2_d0",5
57,654075.901408451,6830142.85202864,15.3,FALSE,"c2_d0",1
58,661252.971830986,6858308.36515513,12.4,FALSE,"c2_d0",2
59,571539.591549296,7015523.13842482,11.4,FALSE,"c2_d0",6
60,636133.225352113,6913103.09069213,15.3,FALSE,"c2_d0",8
61,612038.774647887,6853187.3627685,13.5,FALSE,"c2_d0",2
62,697138.323943662,6968409.91646778,10.8,FALSE,"c2_d0",5
63,627418.211267606,6907982.08830549,15.1,FALSE,"c2_d0",8
64,621266.436619718,6837824.35560859,12.6,FALSE,"c2_d0",1
65,611526.126760563,6850626.86157518,12.7,FALSE,"c2_d0",2
66,564875.169014084,6903373.18615752,13.8,FALSE,"c2_d0",4
67,586406.38028169,6830142.85202864,10.7,FALSE,"c2_d0",1
68,617677.901408451,6918224.09307876,13.3,FALSE,"c2_d0",8
69,613064.070422535,6858308.36515513,12.4,FALSE,"c2_d0",2
70,636133.225352113,6920272.49403341,15,FALSE,"c2_d0",8
71,554622.211267606,6920272.49403341,12,FALSE,"c2_d0",4
72,665354.154929578,6924369.29594272,10.2,FALSE,"c2_d0",8
73,652537.957746479,6924369.29594272,13.9,TRUE,"c2_d1",8
74,686885.366197183,6840896.95704057,9.9,TRUE,"c2_d1",1
75,608962.887323944,6909518.38902148,10.7,TRUE,"c2_d1",8
76,657664.436619718,6896203.78281623,12.7,TRUE,"c2_d1",8
77,671505.929577465,6892619.08114559,15.6,TRUE,"c2_d1",8
78,656639.14084507,6917199.89260143,11.9,TRUE,"c2_d1",8
79,693037.14084507,6969434.11694511,11.6,TRUE,"c2_d1",5
80,558723.394366197,6910030.48926014,12.8,TRUE,"c2_d1",4
81,623317.028169014,6919248.29355609,13.4,TRUE,"c2_d1",8
82,669967.985915493,6924369.29594272,15.5,TRUE,"c2_d1",8
83,674581.816901408,7009377.93556086,10.2,TRUE,"c2_d1",6
84,645873.535211268,6902348.98568019,14.9,TRUE,"c2_d1",8
85,687910.661971831,6913103.09069213,11.5,TRUE,"c2_d1",4
86,659715.028169014,6904397.38663485,11,TRUE,"c2_d1",8
87,667404.746478873,6983260.82338902,13.9,TRUE,"c2_d1",8
88,603836.408450704,6921296.69451074,12,TRUE,"c2_d1",8
89,595634.042253521,6860868.86634845,11.6,TRUE,"c2_d1",3
90,657151.788732394,6871622.97136038,15.6,TRUE,"c2_d1",3
91,725333.957746479,6974043.01909308,12.2,TRUE,"c2_d1",6
92,609475.535211268,6888522.27923628,12.6,TRUE,"c2_d1",8
93,635620.577464789,6848066.36038186,15.3,TRUE,"c2_d1",2
94,639721.76056338,6924881.39618138,12.7,TRUE,"c2_d1",8
95,629468.802816901,6846017.95942721,11.3,TRUE,"c2_d1",2
96,601785.816901408,6858820.4653938,10.7,TRUE,"c2_d1",3
97,634082.633802817,6878792.37470167,12.1,TRUE,"c2_d1",8
98,703290.098591549,7031398.24582339,12,TRUE,"c2_d1",7
99,634595.281690141,6919760.39379475,13.7,TRUE,"c2_d1",8
100,622291.732394366,6838848.55608592,12.8,TRUE,"c2_d1",1
101,620241.14084507,6867014.06921241,11.8,TRUE,"c2_d1",3
102,598709.929577465,6879816.575179,14.9,TRUE,"c2_d1",4
103,673556.52112676,6976603.5202864,14.3,TRUE,"c2_d1",8
104,581279.901408451,6880840.77565633,11.9,TRUE,"c2_d1",4
105,673043.873239437,6884937.57756563,12.4,TRUE,"c2_d1",8
106,631006.746478873,6850626.86157518,13.8,TRUE,"c2_d1",2
107,628443.507042254,6881352.87589499,10.5,TRUE,"c2_d1",8
108,585893.732394366,7023716.74224344,23.4,FALSE,"c3_d0",7
109,558210.746478873,7010402.13603819,27.4,FALSE,"c3_d0",6
110,600760.52112676,7029349.84486874,16.7,FALSE,"c3_d0",7
111,627930.85915493,6865477.76849642,17.3,FALSE,"c3_d0",3
112,564875.169014084,6889034.37947494,16.7,FALSE,"c3_d0",4
113,610500.830985916,6839872.75656325,17.1,FALSE,"c3_d0",1
114,659715.028169014,6854723.66348449,20.2,FALSE,"c3_d0",2
115,580254.605633803,6902348.98568019,28.9,FALSE,"c3_d0",4
116,725333.957746479,6987357.62529833,16.2,FALSE,"c3_d0",6
117,554622.211267606,7007329.5346062,26.7,FALSE,"c3_d0",6
118,613576.718309859,6883401.27684964,29.4,FALSE,"c3_d0",8
119,573590.183098592,6881864.97613365,16.7,FALSE,"c3_d0",4
120,560773.985915493,7037031.34844869,19,FALSE,"c3_d0",7
121,559236.042253521,7026789.34367542,27,FALSE,"c3_d0",7
122,552571.61971831,6999135.93078759,30.7,FALSE,"c3_d0",6
