"area","crowns","chip_px","bands","crown_area_m2","pct_crown"
"0002",155,"987 x 836",4,2127,1.03
"0003",3,"78 x 34",4,44,6.64
"0004",14,"99 x 230",4,196,3.46
"0032",175,"848 x 1024",4,1646,0.76
"0033",73,"915 x 1009",4,1087,0.47
"0034",59,"906 x 403",4,1036,1.14
"0035",11,"263 x 103",4,278,4.08
"0038",4,"232 x 499",4,68,0.23
"0046",277,"949 x 1024",4,7761,3.2
"0048",158,"874 x 962",4,1675,0.8
"0049",74,"726 x 993",4,1443,0.8
"0050",86,"1022 x 691",4,1015,0.57
"0057",127,"1020 x 1022",4,2526,0.97
"0062",282,"1025 x 1018",4,4188,1.61
"0067",1,"14 x 7",4,19,74.49
"0069",448,"1026 x 1025",4,6425,2.44
"0070",288,"1026 x 1015",4,4583,1.76
"0071",57,"583 x 928",4,770,0.57
"0072",193,"1023 x 1025",4,1894,0.72
"0073",144,"444 x 933",4,3342,3.23
"0074",334,"1027 x 1025",4,5662,2.15
"0075",27,"383 x 635",4,433,0.72
"0087",303,"1026 x 1025",4,3169,1.21
"0088",1393,"1027 x 1025",4,23362,8.89
"0089",471,"582 x 1002",4,11162,7.64
"0090",738,"1029 x 768",4,24625,12.32
"0091",422,"1024 x 1025",4,4618,1.76
"1000",190,"855 x 1025",4,4221,1.93
"1001",140,"893 x 983",4,2693,1.22
"1002",81,"939 x 949",4,1337,0.6
"1003",78,"652 x 1010",4,1310,0.79
"1004",897,"1024 x 1025",4,18621,7.1
"1005",291,"967 x 1025",4,5060,2.04
"1006",129,"1013 x 994",4,2410,0.96
"1011",709,"1029 x 1025",4,14872,5.65
"1016",80,"972 x 953",4,1170,0.51
"1017",282,"1027 x 838",4,5624,2.61
