"endmember","stratum","n","recall","overall_accuracy"
"assumed","(0.01,0.03]",85,0,0.547
"assumed","(0.03,0.05]",80,0,0.547
"assumed","(0.05,0.1]",87,0,0.547
"assumed","(0.1,0.2]",86,0.012,0.547
"assumed","(0.2,1]",73,0.63,0.547
"assumed","[0,0.01]",74,0,0.547
"assumed","none",515,0.971,0.547
"measured","(0.01,0.03]",85,0,0.558
"measured","(0.03,0.05]",80,0,0.558
"measured","(0.05,0.1]",87,0.011,0.558
"measured","(0.1,0.2]",86,0.163,0.558
"measured","(0.2,1]",73,0.726,0.558
"measured","[0,0.01]",74,0,0.558
"measured","none",515,0.951,0.558
